Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,Dhanvantari Park,,South Zone,,,M-25,12.90886,77.58784,,,,,,,,
Mphasis,Dhanvantari Park,,South Zone,,,M-26,12.90954,77.58812,,,,,,,,
Mphasis,Dhanvantari Park,,South Zone,,,M-27,12.90969,77.58839,,,,,,,,
Mphasis,Dhanvantari Park,,South Zone,,,M-28,12.90892,77.58839,,,,,,,,
Mphasis,Dhanvantari Park,,South Zone,,,M-29,12.90884,77.58824,,,,,,,,
Mphasis,"Badrinath Park (JP nagar 1st phase, 29th cross park)",,South Zone,,,M-30,12.90798,77.58372,,,,,,,,
Mphasis,"Badrinath Park (JP nagar 1st phase, 29th cross park)",,South Zone,,,M-31,12.90787,77.58363,,,,,,,,
Mphasis,"Badrinath Park (JP nagar 1st phase, 29th cross park)",,South Zone,,,M-32,12.90789,77.58391,,,,,,,,
Mphasis,"Badrinath Park (JP nagar 1st phase, 29th cross park)",,South Zone,,,M-33,12.908,77.58403,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-12,13.08963,77.56067,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-13,13.08957,77.56065,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-14,12.99447,77.60915,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-15,12.99453,77.60897,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-17,12.99433,77.60947,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-191,13.08942,77.5623,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-192,13.08944,77.56225,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-193,13.08945,77.56217,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-194,13.08947,77.5621,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-195,13.0895,77.56203,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-196,13.08953,77.56196,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-197,13.08954,77.5619,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-198,13.08955,77.56182,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-199,13.08958,77.56175,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-2,12.99358,77.60905,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-200,13.08958,77.56168,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-201,13.08961,77.56161,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-202,13.08962,77.56155,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-206,13.08969,77.56125,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-207,13.08971,77.56118,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-208,13.08973,77.56107,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-214,13.08952,77.56063,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-215,13.08945,77.56061,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-216,13.08939,77.56061,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-218,13.08914,77.56051,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-219,13.08907,77.56049,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-220,13.089,77.56046,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-221,13.08892,77.56045,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-222,13.08886,77.56043,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-223,13.08876,77.56041,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-224,13.08875,77.56047,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-225,13.08871,77.56053,,,,,,,,
Happiest Minds,"College of Horticulture, UHS Campus",,Yelahanka Zone,,,HM-226,13.08867,77.56065,,,,,,,,
