SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
511	Broadcom_LSI	NPKL Park next to Sulikere Palya Kere	12.9477583	77.4462924	https://maps.app.goo.gl/NhhZ8fiKETcAu33q8	22	Mar-26	RR Nagar Zone		BDA Parks
512	Broadcom_LSI	NPKL park near Ramasandra near sulikere lake Park-2	12.9461718	77.4581988	https://maps.app.goo.gl/XXKUFn2dAurqbcPC6	7	Mar-26	RR Nagar Zone		BDA Parks
513	Broadcom_LSI	NPKL Park -1 near Dananayakanahalli	12.9389619	77.4572209	https://maps.app.goo.gl/tphMd4TWxp1DFybE6	4	Mar-26	RR Nagar Zone		BDA Parks
514	Broadcom_LSI	NPKL Park -2 near Dananayakanahalli	12.9379855	77.458109	https://maps.app.goo.gl/uipKkTqWd43r3R3L8	13	Mar-26	RR Nagar Zone		BDA Parks
515	Broadcom_LSI	NPKL Park-1 near muneshwara temple	12.9461448	77.4363943	https://maps.app.goo.gl/dqREJCcpfngpuAs9A	25	Mar-26	RR Nagar Zone		BDA Parks
516	Broadcom_LSI	NPKL Park-2 near muneshwara temple (9th Block)	12.9443532	77.4374167	https://maps.app.goo.gl/6QLG8WCeL1vwczeQ6	12	Mar-26	RR Nagar Zone		BDA Parks
517	Broadcom_LSI	NPKL Park near Padmashree Institute	12.9242761	77.4447264	https://maps.app.goo.gl/Je5XBA4TasUAmx7L7	4	Mar-26	RR Nagar Zone		BDA Parks
518	Broadcom_LSI	NPKL Park 7th block DCA sector	12.9223954	77.4427115	https://maps.app.goo.gl/zZes9Zosn3GRAffD7	14	Mar-26	RR Nagar Zone		BDA Parks
519	Broadcom_LSI	NPKL Layout Park-4th Block -2	12.9317431	77.4531027	https://maps.app.goo.gl/GV9UurFhzgNhAHAa6	10	Mar-26	RR Nagar Zone		BDA Parks
520	Broadcom_LSI	NPKL Layout Park-6th block Part A Park and B	12.9079569	77.4422232	https://maps.app.goo.gl/f5t1m5zyM1T6Nf7r6	60	Mar-26	RR Nagar Zone		BDA Parks
521	Broadcom_LSI	KMF -Admin Block	13.18671	77.5081029	https://maps.app.goo.gl/N4esHJcG8ZqGSuP1A	41	Mar-26	Yelahanka		Others
522	Broadcom_LSI	Banashankari 6th Stage 7th Block Park-2	12.8816839	77.5065941	https://maps.app.goo.gl/iAXuj16hgYRk4ShF8	19	Mar-26	RR Nagar Zone		BDA Parks
523	Broadcom_LSI	BSK 6th Stage 8th Block Playground	12.8842815	77.4951968	https://maps.app.goo.gl/F8W66fthdJsuR2s78	11	Mar-26	RR Nagar Zone		BDA Parks
524	Broadcom_LSI	NPKL Layout Park-4-near STP-5	12.907249	77.458634	https://maps.app.goo.gl/roiaShAL3Ufw4n3v7	16	Mar-26	RR Nagar Zone		BDA Parks
525	Broadcom_LSI	NPKL Park near Sri Sarva karya Siddhi Anjaneyaswamy Temple	12.900559	77.4520891	https://maps.app.goo.gl/3KFPivfHacie7EL6A	14	Mar-26	RR Nagar Zone		BDA Parks
526	Broadcom_LSI	"NPKL Layout Park - 2 Near Kantimani Residence-2 
"	12.9221494	77.4444856	https://maps.app.goo.gl/kRqT578vtiRiaD2K6	4	Mar-26	RR Nagar Zone		BDA Parks
527	Broadcom_LSI	NPKL Layout Park -1 Near Kantimani Residence	12.922593	77.4461744	https://maps.app.goo.gl/uFUNF8xWdfBMYKQ78	6	Mar-26	RR Nagar Zone		BDA Parks
528	Mphasis	Karnataka Institute of Leather & Fashion Technology	12.9627228	77.4765793	"https://www.google.com/maps/place/Karnataka+Institute+of+Leather+%26+Fashion+Technology/@12.9627228,77.4765793,350m/data=!3m1!1e3!4m6!3m5!1s0x3bae17107e068e9b:0x9f4a7f387a7bb9df!8m2!3d12.9622701!4d77.4771216!16s%2Fg%2F1tjpnyry!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D"	70	Mar-26	West Zone		Other state Govt Campus
529	Mphasis	Mysore Sandal Soap Factory	13.0132324	77.5510976	https://maps.app.goo.gl/YUSKLwH9Uik7MXkP8	53	Mar-26	West Zone		Other state Govt Campus
530	Mphasis	Vishveshwaraiah Museum	12.9751645	77.5938449	https://maps.app.goo.gl/wMjZ4h3G4A6EQ8GQ6	2	Mar-26	Central Zone		Others
531	Mphasis	Government Post Officie Head Office	12.9809933	77.5943569	https://maps.app.goo.gl/QCDA1q9TJ9n6nTCu6	3	Mar-26	Central Zone		Others
532	Mphasis	Industrial Workers Layout Park 1	13.0138201	77.5413045	https://maps.app.goo.gl/yur8BL9KdFFQUvPU8	6	Mar-26	West Zone		BBMP Parks
533	Mphasis	Industrial Workers Layout Park 2	13.0140408	77.5417236	https://maps.app.goo.gl/yW2KUrnzRcossULf8	6	Mar-26	West Zone		BBMP Parks
534	Mphasis	ITI College Peenya	13.0262505	77.513897	https://maps.app.goo.gl/M7argxggYQDJNYrU6?g_st=aw	14	Mar-26	North Zone		Schools and colleges
535	Mphasis	"Airforce Technical Collage,Jalahalli"	13.0498088	77.5201318	https://maps.app.goo.gl/U3M5vz8Gc6uDoU3k9	184	Mar-26	North Zone		Defence campus
536	Mphasis	Doordarshan Staff Quartres	13.0480609	77.5347362	https://maps.app.goo.gl/5dsRufZPLhopjS2p6	12	Mar-26	North Zone		Other state Govt Campus
537	Mphasis	Airforce Station Jalahalli East Campus	13.0691541	77.5412789	https://maps.app.goo.gl/4CTgaT3sisT5Tt7BA	140	Mar-26	North Zone		Defence campus
538	Mphasis	Siddalingaiah park 7	12.9295018	77.5211737	https://maps.app.goo.gl/rvqcNy9EDrfFVV7C9	7	Mar-26	West Zone		BBMP Parks
539	Mphasis	Kittor rani chennamma Park	12.9168521	77.5084016	https://maps.app.goo.gl/ti6dVonFKUL37DSX6	11	Mar-26	West Zone		BBMP Parks
540	Mphasis	Netaji Memorial Park (subhash Bhavan)	12.9298019	77.5177449	https://maps.app.goo.gl/nejZFfSoe9Vaj2NW9	22	Mar-26	West Zone		BBMP Parks
541	Mphasis	CCT Thataguni	12.8376954	77.4945093	https://maps.app.goo.gl/oabRUrAooCLLswju8	28	Mar-26	Outside GBA		Police campus
542	Mphasis	Airforce station-Yelahanka	13.131079	77.615029	https://maps.app.goo.gl/XgzJUmtfXGkUhRPd8	42	Mar-26	North Zone		Defence campus
543	Mphasis	NPKL BWSSB Right Side Area	12.9716568	77.4447681	https://maps.app.goo.gl/YG5SKcWVBTtfyDg18	46	Mar-26	Outside GBA		BDA Parks
544	Mphasis	NPKL Park 1st block	12.978643	77.4569047	https://maps.app.goo.gl/3U5BJLvsf6Vj2XSE8	12	Mar-26	Outside GBA		BDA Parks
